,Word1,Word2,Target,WUP,PTH,LCH
0,love,sex,6.77,0.9090909090909091,39,3.0204248861443626
1,tiger,cat,7.35,0.9629629629629629,39,3.0204248861443626
2,tiger,tiger,10.0,1.0,40,3.713572066704308
3,book,paper,7.46,0.8571428571428571,38,2.6149597780361984
4,computer,keyboard,7.62,0.8,37,2.327277705584417
5,computer,internet,7.58,0.5882352941176471,33,1.6341305250244718
6,plane,car,5.77,0.7,34,1.7676619176489945
7,train,car,6.31,0.7058823529411765,35,1.9218125974762528
8,telephone,communication,7.5,0.0,30,1.3156767939059373
9,television,radio,6.77,0.9,38,2.6149597780361984
10,media,radio,7.42,0.7142857142857143,37,2.327277705584417
11,drug,abuse,6.85,0.0,31,1.410986973710262
12,bread,butter,6.19,0.7142857142857143,38,2.6149597780361984
13,cucumber,potato,5.92,0.8,37,2.327277705584417
14,doctor,nurse,7.0,0.8571428571428571,38,2.6149597780361984
15,professor,doctor,6.62,0.7272727272727273,34,1.7676619176489945
16,student,professor,6.81,0.631578947368421,33,1.6341305250244718
17,smart,student,4.62,0.0,27,1.074514737089049
18,smart,stupid,5.81,0.0,27,1.074514737089049
19,company,stock,7.08,0.5454545454545454,35,1.9218125974762528
20,stock,market,8.08,0.5,34,1.7676619176489945
21,stock,phone,1.62,0.6666666666666666,34,1.7676619176489945
22,stock,CD,1.31,0.7058823529411765,35,1.9218125974762528
23,stock,jaguar,0.92,0.8,35,1.9218125974762528
24,stock,egg,1.81,0.5714285714285714,34,1.7676619176489945
25,fertility,egg,6.69,0.0,29,1.2286654169163076
26,stock,live,3.73,0.0,35,1.9218125974762528
27,stock,life,0.92,0.5555555555555556,35,1.9218125974762528
28,book,library,7.46,0.75,38,2.6149597780361984
29,bank,money,8.12,0.5,34,1.7676619176489945
30,wood,forest,7.73,1.0,40,3.713572066704308
31,money,cash,9.15,0.8571428571428571,38,2.6149597780361984
32,professor,cucumber,0.31,0.45454545454545453,28,1.148622709242771
33,king,cabbage,0.23,0.5263157894736842,31,1.410986973710262
34,king,queen,8.58,1.0,40,3.713572066704308
35,king,rook,5.92,0.9,38,2.6149597780361984
36,bishop,rabbi,6.69,0.8,36,2.1041341542702074
